SKUID（只打SKUID对应颜色图）
62981247161
64766539176
62981247162
64766539178
54491919944
55234968598
55635534616
56578244771
62994924663
62994924664
54734226453
55505489561
54738724110
55505643169
54738370755
55504853868
54737638529
55505287602
54736891879
55504642185
